1	001	139773	MAYSA Tu no quieres parar de jugar tu solo deseas que pase el tiempo y duela menos y vuelvas a tener dinero disponible para jugar y por ahora solo quieres desahogarte 
1	002	11250	Espera que no puedes Mas descojone JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA El hombre con nombre de ventisca que no llega a aire de pedo 
1	003	349462	Está bien que las recaidas son comunes y no quiere decir que vuelvas a jugar pero decir que es por culpa de quien te presto el dinero y no querer devolverselo para que no te preste mas 
1	004	295269	para no jugar se deja de llevar dinero pero y para decir la verdad 
1	005	335913	No jugaré no puedo estropear 5 meses sin jugar 
1	006	264032	Y o pensabe que lo iba a recuperar inmediatamente en 3 o 4 dias y lo paso fue que los perdi todos Ahora actualmenete me eh endeudado con 13 000 dolares empese a cojerle dinero a todo el mundo Ya no tenia idea de recuperar el dinero perdido pero tampoco queria que mi familia se diera cuenta 
1	007	264109	Y o pensabe que lo iba a recuperar inmediatamente en 3 o 4 dias y lo paso fue que los perdi todos Ahora actualmenete me eh endeudado con 13 000 dolares empese a cojerle dinero a todo el mundo Ya no tenia idea de recuperar el dinero perdido pero tampoco queria que mi familia se diera cuenta 
1	008	14908	decidido irremediablemente a poner punto y final le entregué la tarjeta a mi hija no me la des aunque te la pida si necesito dinero vienes tú conmigo lo sacamos y te la llevas 
1	009	256747	QUIERO QUE SEPÁIS QUE QUIÉN DABA ESOS PORTAZOS NO ERA YO QUE QUIÉN ENGAÑABA Y MENTÍA NO ERA YO QUE QUIÉN SUSPENDÍA NO ERA YO QUE QUIÉN LEVANTABA LA VOZ QUE QUIÉN SE ESCONDÍA SE AISLABA DE VOSOTROS HUÍA DE CASA LLEGABA TARDE OS QUITABA DINERO DE VUESTROS MONEDEROS NO ERA YO 
1	010	51265	Pues bienvenido desde ya te digo que si no dejas que otro maneje tu dinero no dejarás de jugar y pasaras meses bien y meses mal pero nunca dejaras de jugar 
2	001	7766	Necesito algún consejo para salir de este maldito ciclo de perder el dinero Bueno chico en primer lugar Se bienvenido He destacado esa frase para decirte que mal empieza Dinero 
2	002	176248	No creo que necesites dinero para hablar con tu familia y amigos y decir soy ludópata y necesito ayuda 
2	003	14908	decidido irremediablemente a poner punto y final le entregué la tarjeta a mi hija no me la des aunque te la pida si necesito dinero vienes tú conmigo lo sacamos y te la llevas 
2	004	345302	Ese mismo incentivo el dinero lo tiene cualquier persona que vaya a jugar no necesariamente ha de ser ludópata o jugador compulsivo 
2	005	65791	Necesitaba escribir esto para desahogarme preparare un cafe y seguire con mi incansable lucha contra mi mismo y espero que ustedes tambien 
2	006	261462	Para empezar debes manejar muxísimo dinero porque yo q no soy jugadora y tengo una economía más o menos solvente no he llevado jamás esa cantidad de dinero encima 
2	007	152984	Se puede decir que empece muy joven 14 años Actualmente tengo 25 Y empece con las maquinitas de los cojones AHI SI QUE ME GASTE MUCHISISISISMO DINERO 
2	008	270148	 necesito pagar una reparación de coche y no tengo dinero Eso es suena tremendo Pues sí efectivamente es tremendo no disponer de dinero cuando justamente se necesita y más cuando sabemos a ciencia cierta que si no lo hubiéramos derrochado ahora no tendríamos ese problema 
2	009	92068	No se como y cuando entre a ese mundillo pero si se que tuve una razon absurda quizas para muchos pero no crei que fuera necesario decir mi verdad una sola verdad solo la desesperacion por recuperar algun dinero del cual fui estafado hace mucho me hizo ver que ra una FORMA FACIL DE HACER DINERO 
2	010	191037	Es decir creo que no fui a jugar porque simplemente No tengo dinero 
3	001	36662	Lo que quieren es dejar de jugar anónimamente igual que empezaron __________________No lo intentes 
3	002	337313	 El dejar de jugar o reducir cuánto usted jugaba le ha hecho sentir inquieto o irritable durante los últimos 12 meses 
3	003	312971	No intentes recuperar jamás lo que perdiste volviendo a jugar 
3	004	14387	Intento decirme que pasó a paso Y agradezco cualquier comentario aún cuando me digan que salga corriendo 
3	005	335913	No jugaré no puedo estropear 5 meses sin jugar 
3	006	314335	que jugaste o que no jugaste 
3	007	37720	No se puede explicar mejor __________________No lo intentes 
3	008	295269	para no jugar se deja de llevar dinero pero y para decir la verdad 
3	009	95602	No intentes recuperar esa plata ya es demasiada intentar recuperarla seria volver el infierno mas grande 
3	010	168399	Sencillamente porque necesitaba jugar 
4	001	335913	No jugaré no puedo estropear 5 meses sin jugar 
4	002	131687	Ahora mismo peso unos 12 kgs menos que la última vez que nos vimos Puedes decir tú lo mismo 
4	003	104446	No hay esperanza no hay salida no creo tener perdon de Dios a quien tantas veces le incumpli mis promesas 
4	004	223206	Es decir nos jugamos todo lo jugable sin sopesar las consecuencias que puede acarrearnos 
4	005	110841	jugon tu mismo lo has dicho no puedes parar tienes un problema de ludopatia la pregunta seria kieres parar 
4	006	25592	No te puedo explicar porque cuando te fuiste a tu país dejaste de jugar pero si te puedo explicar porque cuando estabas aquí jugabas y porque cuando has vuelto sigues en las mismas 
4	007	191037	Es decir creo que no fui a jugar porque simplemente No tengo dinero 
4	008	126836	Decía que era un lastre para mi madre porque le vengo costando unos 1200 euros mensuales ultimamente 
4	009	291456	TÚ MISMO __________________Que me crea tus mentiras no significa que sepas mentir sino que por algún motivo me interesa creerte
4	010	232102	Yo mismo hace menos de un año me gaste unos 10000 euros que ni siquiera tenia y te aseguro que no estoy loco pero en ese momento se puede decir que perdi la cabeza entre aqui y gracias a eso supe que pautas seguir para abandonar el juego esta claro que ya sabia que tenia un problema lo que pasa es que no sabia como solucionarlo aqui encontre consejos de otra gente que ya habia pasado por eso encontre apoyo en otros como yo me dijeron que lo contara se que parece dificil yaser pero plantate delante de tus padres y diles me he gastado 10000 euros en menos de un mes en casinos on line los hice de todos menos felices 
5	001	263881	Desistí porque me di cuenta que es muy reconfortante tener dinero extra ya no estoy endeudada porque pague todas los recibos pendientes ya no me siento ansiosa ni culpable conmigo misma era horrible sentirse asi y mentirle a la personas que más te quieren Sólo espero no recaer y seguir adelante 
5	002	55810	Después de perder muchas veces en máquinas hice un gran esfuerzo y abandoné esa adicción ya que había perdido mucho dinero 
5	003	282058	Después de perder dinero en el juego vuelta al día siguiente para intentar recuperarlo 
5	004	14908	decidido irremediablemente a poner punto y final le entregué la tarjeta a mi hija no me la des aunque te la pida si necesito dinero vienes tú conmigo lo sacamos y te la llevas 
5	005	185405	Despues de esto yo no sé para qué quiere tanto dinero le pregunte a quien más debe y el insiste en que sólo a su jefe 
5	006	95392	Después de perder dinero dejé de jugar 
5	007	324801	Después de sospechar varios meses y de pedirnos dinero en alguna ocasión tuvimos que cortar y acorralarle un que duro es que tus propios hinjos te tengan que dicer a la cara cosas tan duras 
5	008	57426	te destruye hasta cuando no juegas Tus historias son de pelicula Una semana tienes deudas que no podras pagar en toda tu vida La otra semana el dinero aparece magicamente y vuelves a ser rico que hasta dinero te sobra 
5	009	87471	Hasta diciembre no volveré a tener dinero 
5	010	68222	No se como mirar a mi madre a la cara y decirle que debo ese dinero me da mucha verguenz mucha mas que que sepa de mi enfermedad pero no quiero dejar de decirselo por el miedo a la verguenza y por lo mal que lo va a pasar Demasiadas noches sin dormir llorando por sentirte un miserable hasta aquí 
6	001	233973	Hay personas que son mas orgullosas cuanto menos orgullo tienen ya sabes tapar mentiras con otras mentiras que el reconozca lo que es es el primer paso 
6	002	240350	hola me llamo esther manolo aqui lo conoceis como manolobar me ofrecio trabajo en su bar y llevo desde julio trabajando con el una tarde me estuvo comentando el problema que habia tenido con la ludopatia y lo mal que lo habia pasado y todo el daño que habia hecho a las personas que mas queria el es un claro ejemplo de que con una gran fuerza de voluntad una persona puede rehabilitarse y comenzar una nueva vida la cual creo que se vive mas intensamente ya que es como una segunda oportunidad para ser feliz de nuevo para volver a sonreir para volver a vivir 
6	003	357395	Lo que hay que oir JA JA JA JA __________________vive y deja vivir Lourdes
6	004	34271	Las mentiras la ocultación el egoísmo etc Una parte de nosotros era o es así y hay que tratar que no vuelva 
6	005	231844	hola ester no te merecias este final de tu relacion por tu lucha constante No te hundas ahora te toca luchar por ti y por tu hijo No dejes de escribir por este foro aunque solo sea para saludar Por aqui si haces falta 
6	006	255512	Hola Esther que tal va todo 
6	007	255170	Vas a encontrarla y vas a tener la suerte que necesitas porque la mereces porque has luchado y porque te has ganado vivir esta vida que insisto merece la pena 
6	008	262689	escucha no hay peor ciego que el que no quiere ver saludos__________________ESTHER
6	009	173379	Sólo tenía que alargar mi mano y allí estaba la LIBERTAD para acogerme__________________FELICES 24 HORAS
6	010	226285	hola ha y otra cosa que me dejo antes cuando no habia maquinas en los bares habia otras cosas boletos porras y muchas partidas de cartas en los cuales tambien podias perder mucho dinero 
7	001	337243	 Ha intentado usted dejar de jugar repetidamente sin éxito 
7	002	335913	No jugaré no puedo estropear 5 meses sin jugar 
7	003	337313	 El dejar de jugar o reducir cuánto usted jugaba le ha hecho sentir inquieto o irritable durante los últimos 12 meses 
7	004	47297	No se puede jugar con control 
7	005	168399	Sencillamente porque necesitaba jugar 
7	006	49170	Con esto no quiero decir ya puedo jugar No no puedo jugar 
7	007	44739	 Quiere dejar de jugar o quiere jugar menos con control 
7	008	274762	Conclusión Nunca podré jugar no lo puedo controlar 
7	009	168814	Segundo tener DESEO de dejar de jugar 
7	010	144199	 Jugar para recuperar pues algo parecido sentía tambien yo 
8	001	53575	No era mi verdad absoluta era mi opinión 
8	002	332081	Lo importante no es ganar o perder sino quedarse empate NO JUGAR No jugar y ahorrar lo que se pueda para tener caprichos no arruinar a la familia que nuestros hijos puedan tener algun dinerillo ahorrado para su futuro para que vayan a la Universidad para su comunion No tener deudas etc etc etc LA META ES NO JUGAR NUNCA MAS Pero de 24 en 24 horas 
8	003	280939	Solo una opinion miki quiza te des cuenta de que eres ludopata el dia que pierdas amistades familia trabajo el dia que el juego ocupe toda tu vida independientemente de que ganes o pierdas 
8	004	232292	Alguien decia La verdad te hara libre 
8	005	104567	Animo sigue adelante ya saves lo que hemos hablado no te rindas tu puedes__________________AYUDA SIEMPRE QUE PUEDAS Y NO CRITIQUES A QUIEN NO CONOCES VIVE Y DEJA VIVIR 
8	006	18683	Haz examen de conciencia y si quieres continuar aquí cambia de actitud porque la mayoría de tus intervenciones dan vergüenza ajena y si no relee los hilos de ayer anteayer etc Si quieres continuar como hasta ahora ya no serás mi problema 
8	007	75386	Una enfermedad se puede contraer a cualquier edad Lo importante es tomar conciencia de ello y tratarla__________________ vencer la ludopatia1º aceptacion 2º convencimiento 3ºresolusion y tratamiento
8	008	111903	Sólo diremos que en 1882 se casó pasando a desempeñar una cátedra en la Universidad de Zaragoza desde donde se trasladaría un año después a la Universidad de Oviedo como profesor de Derecho Romano 
8	009	11784	Yo escribí Razón o no las cosas se pueden decir sin insultar Y desde ahí el resto__________________vencer la ludopatia 1º aceptacion 2º convencimiento 3ºresolusion y tratamiento
8	010	86886	Solo quiero resaltar que no hay una única vía de salida si vez el foro hay muchas personas que han salido con ayuda otros solos otros con ayuda de la asociación y otros sin asociación unos con psicólogos y siquiatras y otros sin ellos 
9	001	176248	No creo que necesites dinero para hablar con tu familia y amigos y decir soy ludópata y necesito ayuda 
9	002	14908	decidido irremediablemente a poner punto y final le entregué la tarjeta a mi hija no me la des aunque te la pida si necesito dinero vienes tú conmigo lo sacamos y te la llevas 
9	003	11250	Espera que no puedes Mas descojone JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA JAJAJAJAJAJAJAJA El hombre con nombre de ventisca que no llega a aire de pedo 
9	004	86158	Actualmente no tengo dinero ni para comer y se me avecinan unos meses muy duros 
9	005	47754	Actualmente no tengo dinero ni para comer y se me avecinan unos meses muy duros 
9	006	122562	Actualmente y desde hace tiempo manejo dinero en las cantidades que sean necesarias sin ningun problema y con todo el rigor que deseo 
9	007	77822	A la perdida del dinero mi amigo hay que hacerle un duelo pero duelo serio acompañado de muchas razones y pocas emociones que nos permitan realmente abandonar esa terca obsesión por recuperar y eso debe ser con ayuda externa con historias de otros perdedores que nos medio muestren como hicieron ellos para desistir y realmemte darle cristiana sepultura a esa cantidad de dinero que ya cuando lo perdimos es el unico motor que nos hubiera sacado de este mal momento que estamos viviendo 
9	008	288418	 Merece la pena __________________Que me crea tus mentiras no significa que sepas mentir sino que por algún motivo me interesa creerte
9	009	327353	Actualmente mi mayor fuente de desgracia y de momentos tristes llamésmole pseudepresión es la pena de haber perdido tanto dinero en tan poco tiempo 
9	010	349462	Está bien que las recaidas son comunes y no quiere decir que vuelvas a jugar pero decir que es por culpa de quien te presto el dinero y no querer devolverselo para que no te preste mas 
